Herb,Title,Abstract
rhodiola rosea,"Plant-based medicines for anxiety disorders, part 2: a review of clinical studies with supporting preclinical evidence - PubMed","              Research in the area of herbal psychopharmacology has revealed a variety of promising medicines that may provide benefit in the treatment of general anxiety and specific anxiety disorders. However, a comprehensive review of plant-based anxiolytics has been absent to date. Thus, our aim was to provide a comprehensive narrative review of plant-based medicines that have clinical and/or preclinical evidence of anxiolytic activity. We present the article in two parts. In part one, we reviewed herbal medicines for which only preclinical investigations for anxiolytic activity have been performed. In this current article (part two), we review herbal medicines for which there have been both preclinical and clinical investigations of anxiolytic activity. A search of MEDLINE (PubMed), CINAHL, Scopus and the Cochrane Library databases was conducted (up to 28 October 2012) for English language papers using the search terms 'anxiety' OR 'anxiety disorder' OR 'generalized anxiety disorder' OR 'social phobia' OR 'post-traumatic stress disorder' OR 'panic disorder' OR 'agoraphobia' OR 'obsessive compulsive disorder' in combination with the search terms 'Herb*' OR 'Medicinal Plants' OR 'Botanical Medicine' OR 'Chinese herb*', in addition to individual herbal medicines. This search of the literature revealed 1,525 papers, of which 53 plants were included in the review (having at least one study using the whole plant extract). Of these plants, 21 had human clinical trial evidence (reviewed here in part two), with the other 32 having solely preclinical evidence (reviewed in part one). Support for efficacy was found for chronic use (i.e. greater than one day) of the following herbs in treating a range of anxiety disorders in human clinical trials: Piper methysticum, Matricaria recutita, Ginkgo biloba, Scutellaria lateriflora, Silybum marianum, Passiflora incarnata, Withania somniferum, Galphimia glauca, Centella asiatica, Rhodiola rosea, Echinacea spp., Melissa officinalis and Echium amoenum. For several of the plants studied, conclusions need to be tempered due to methodological issues such as small sample sizes, brief intervention durations and non-replication. Current evidence does not support Hypericum perforatum or Valeriana spp. for any anxiety disorder. Acute anxiolytic activity was found for Centella asiatica, Salvia spp., Melissa officinalis, Passiflora incarnata and Citrus aurantium. Bacopa monnieri has shown anxiolytic effects in people with cognitive decline. The therapeutic application of psychotropic plant-based treatments for anxiety disorders is also discussed, specifically Psychotria viridis and Banisteriopsis caarti (ayahuasca), Psilocybe spp. and cannabidiol-enriched (low tetrahydrocannabinol (Δ(9)-THC)) Cannabis spp.          "
rhodiola rosea,[Effects of rhodiola rosea on oxidative stress and negative emotional states in patients with obstructive sleep apnea] - PubMed,"Objective:The aim of this study is to investigate the effects of rhodiola rosea on oxidative stress, anxiety and depression in patients with OSA. Method:Ninety patients with moderate and severe OSA patients with negative emotions diagnosed by PSG, self-rating depression scale （SDS） and self-rating anxiety scale （SAS） were selected from the respiratory department of our hospital from February 2015 to February 2018. According to the random number table method, the patients were randomly divided into non-invasive ventilator group, rhodiola rosea+non-invasive ventilator group and rhodiola rosea group, with 30 cases in each group. Patients in the non-invasive ventilator group were treated with continuous positive airway pressure （CPAP） for 3 months, and those in the rhodiola rosea+non-invasive ventilator group were treated with oral rhodiola capsules for 3 months on the basis of CPAP, and those in the rhodiola rosea treatment group were treated with pure oral rhodiola capsules for 3 months. The changes of SDS and SAS before and after the three groups were compared, and the changes of serum SOD and MDA were detected by immunoenzyme-linked adsorption for comparative analysis. Result:There were no significant differences in SDS and SAS scores between the three groups （P>0.05）. SDS and SAS scores of patients in the rhodiola rosea+non-invasive ventilator group decreased after treatment （P<0.05） compared with those in the non-invasive ventilator group. SDS and SAS scores of patients in the rhodiola treatment group increased after treatment （P<0.05）. Compared with those in the rhodiola treatment group, SDS and SAS scores of patients in the rhodiola+non-invasive breathing group decreased after treatment （P<0.05）. Three group patients were no significant difference in serum SOD and malondialdehyde （MDA） before treatment （P>0.05）. Compared with before treatment, serum SOD level were all increased and MDA level were all decreased in the three groups after treatment （P<0.05）. Compared with noninvasive breathing unit after treatment, rhodiola+noninvasive breathing unit after treatment in patients with elevated levels of serum SOD, MDA level decreased （P<0.05）, and for the treatment group after treatment in patients with serum SOD levels drop, the MDA levels （P<0.05）, and the after rhodiola rosea treatment group compared, rhodiola+noninvasive breathing unit after treatment in patients with elevated levels of serum SOD, MDA level decreased （P<0.05）. Conclusion:Rhodiola may improve the negative emotions such as anxiety and depression by inhibiting oxygen free radicals and lipid peroxidation in patients with OSA.          "
rhodiola rosea,"Potential Antidepressant Effects of Scutellaria baicalensis, Hericium erinaceus and Rhodiola rosea - PubMed","              Recent studies focused on the pharmacology and feasibility of herbal compounds as a potential strategy to target a variety of human diseases ranging from metabolic to brain disorders. Accordingly, bioactive ingredients which are found within a variety of herbal compounds are reported to produce both neuroprotective and psychotropic activities which may help to combat mental disorders such as depression, anxiety, sleep disturbances and cognitive alterations. In the present manuscript, we focus on three herbs which appear effective in mitigating anxiety or depression with favourable risk-benefit profiles, namely Scutellaria baicalensis (S. baicalensis), Hericium erinaceus (H. erinaceus) and Rhodiola rosea (R. rosea). These three traditional folk medicinal herbs target the main biochemical events that are implicated in mental disorders, mimicking, to some extent, the mechanisms of action of conventional antidepressants and mood stabilizers with a wide margin of tolerability. In detail, they rescue alterations in neurotransmitter and neuro-endocrine systems, stimulate neurogenesis and the synthesis of neurotrophic factors, and they counteract oxidative stress, mitochondrial dysfunction and inflammation. Albeit the encouraging results that emerge from both experimental and clinical evidence, further studies are needed to confirm and better understand the mental-health promoting, and specifically, the antidepressant effects of these herbs.          "
rhodiola rosea,"The Effects of Rhodiola rosea L. Extract on Anxiety, Stress, Cognition and Other Mood Symptoms - PubMed","              This trial evaluated the impact of a Rhodiola rosea L. extract on self-reported anxiety, stress, cognition, and other mood symptoms. Eighty mildly anxious participants were randomized into two different groups of either Rhodiola rosea L (2 × 200 mg dose Vitano®, 1 tablet taken before breakfast and 1tablet before lunch) or a control condition (no treatment). Self-report measures and cognitive tests were completed at four testing sessions over a period of 14 days. Relative to the controls, the experimental group demonstrated a significant reduction in self-reported, anxiety, stress, anger, confusion and depression at 14 days and a significant improvements in total mood. No relevant differences in cognitive performance between the groups were observed. Rhodiola rosea L (Vitano®) presented a favourable safety tolerability profile. Although this was a non-placebo controlled trial, it is unlikely that the findings were the result of placebo effects as changes appeared gradual and were specific to certain psychological measures. However, we cannot determine a causal relationship; further investigations are recommended to support the effects of Rhodiola rosea L. extract on stress related symptoms.          "
rhodiola rosea,[New study shows better stress resistance after only a single administration] - PubMed,
rhodiola rosea,The authenticity and quality of Rhodiola rosea products - PubMed,"        Background:                    Rhodiola rosea L. Crassulaceae, root (Golden Root, Arctic Root) is a high-value herbal medicinal product, registered in the UK for the treatment of stress-induced fatigue, exhaustion and anxiety based on traditional use and used throughout Europe as a herbal medicinal product for similar indications. Numerous unregistered supplements are also available. There are several Chinese species used in traditional Chinese medicine (TCM), including Rhodiola crenulata (Hook.f. & Thomoson) that is believed to be a common adulterant in the R. rosea value chain.                  Aims:                    The project is embedded in a larger study aiming to investigate the diverse value chains that lead to the production of R. rosea as an herbal medicinal product or supplement. Here we focus on a comparison of the quality of the finished products and assess any phytochemical variation between products registered under the Traditional Herbal Medicine Products Directive (THMPD) and products obtained from the market without any registration (i.e. generally unlicensed supplements). Our key aim is to establish the extent of the problem in terms of adulteration of consumer products claiming to contain R. rosea (or R. crenulata).                  Methods:                    Approximately 40 commercial products (granulated powders and extracts) were sourced from different suppliers. We analysed these samples using high performance thin layer chromatography (HPTLC), mass spectrometry (MS) and (1)H NMR spectroscopy coupled with multi-variate analysis software following a method previously developed by our group for the analysis of turmeric products.                  Results:                    We investigate the phytochemistry of the different species and assess the potential of R. crenulata as an adulterant at the end of the R. rosea value chains. The consistency of the products varies significantly. Approximately one fifth of commercial products that claimed to be R. rosea did not contain rosavin (the key reference markers used to distinguish R. rosea from related species). Moreover some products appeared not to contain salidroside, another marker compound found in other Rhodiola species. Approximately 80% of the remaining commercial products were lower in rosavin content than the registered products and appeared to be adulterated with other Rhodiola species.                  Conclusions:                    The variation in phytochemical constituents present in Rhodiola products available to European buyers via the internet and other sources is a major cause for concern. Adulteration with different species, and other sometimes unknown adulterants, appears to be commonplace. Good quality systems and manufacturing practices, including those required under the THMPD, enable consumers to have confidence that products are authentic and meet a high specification for quality and safety.          "
rhodiola rosea,Puerariae Radix Prevents Anxiety and Cognitive Deficits in Mice Under Oligomeric Aβ-Induced Stress - PubMed,"              To evaluate the therapeutic effects of Chinese herbal medicine (CHM) for Alzheimer's disease (AD), we evaluated five CHMs in oligomeric Aβ25-35-treated mouse primary hippocampal neuronal cultures. The aqueous extract from the root of Pueraria lobata (Puerariae Radix; PR) showed better neuroprotective effects than did the other four CHM aqueous extracts, including Gardenia jasminoides, Eleutherococcus senticosus, Rhodiola rosea, and Panax, in the primary culture treated with saline or oligomeric Aβ25-35. Furthermore, the neuroprotective effects of aqueous extract of PR were also better than its well-known active compound, puerarin, against the neurotoxicity of oligomeric Aβ25-35 in a primary culture. For in vivo experiments, C57BL/6J male mice that received direct infusion of soluble oligomeric Aβ25-35 into the bilateral hippocampal CA1 subregion were used as an alternative AD mouse model. The effects and molecular mechanisms of chronic systemic administration of PR aqueous extract were evaluated in the alternative AD model. PR aqueous extract prevented anxiety and cognitive impairment in mice associated with a decrease in the levels of Aβ deposition, tau protein phosphorylation, inflammation, loss of noradrenergic, and serotonergic neurons and an increase in the levels of synaptophysin and insulin degrading enzyme (IDE) against the toxicity of oligomeric Aβ25-35. Furthermore, no obvious damage to the liver and kidney was detected after chronic systemic administration of PR aqueous extract. Therefore, using PR could be a safer, more effective therapeutic strategy than using its active compound puerarin to prevent both cognitive and noncognitive dysfunction and related pathological features of AD.          "
vitamin B,Reorganization of supramammillary-hippocampal pathways in the rat pilocarpine model of temporal lobe epilepsy: evidence for axon terminal sprouting - PubMed,"              In mesial temporal lobe epilepsy (MTLE), spontaneous seizures likely originate from a multi-structural epileptogenic zone, including several regions of the limbic system connected to the hippocampal formation. In this study, we investigate the structural connectivity between the supramammillary nucleus (SuM) and the dentate gyrus (DG) in the model of MTLE induced by pilocarpine in the rat. This hypothalamic nucleus, which provides major extracortical projections to the hippocampal formation, plays a key role in the regulation of several hippocampus-dependent activities, including theta rhythms, memory function and emotional behavior, such as stress and anxiety, functions that are known to be altered in MTLE. Our findings demonstrate a marked reorganization of DG afferents originating from the SuM in pilocarpine-treated rats. This reorganization, which starts during the latent period, is massive when animals become epileptic and continue to evolve during epilepsy. It is characterized by an aberrant distribution and an increased number of axon terminals from neurons of both lateral and medial regions of the SuM, invading the entire inner molecular layer of the DG. This reorganization, which reflects an axon terminal sprouting from SuM neurons, could contribute to trigger spontaneous seizures within an altered hippocampal intrinsic circuitry.           "
vitamin B,Effects of daily intake of yoghurt enriched with bioactive components on chronic stress responses: a double-blinded randomized controlled trial - PubMed,"              Chronic stress has a negative influence on health. The aim was to determine stress reducing effects of yoghurt enriched with bioactive components as compared to normal yoghurt. High-trait anxiety individuals (n = 67) aged 18-63 years participated in a randomized, placebo-controlled, double-blinded intervention with parallel groups. They received either yoghurt enriched with alpha-lactalbumin, casein tripeptides and B vitamins (active) or isoenergetic standard yoghurt (control). To detect changes in psychological and physiological stress, State-Trait Anxiety Inventory, Profile of Mood States, salivary cortisol, inflammatory markers, blood pressure, heart rate variability (HRV) and actigraphy were monitored. We observed higher ratings of vigor (p = 0.047) and reduced feeling of inefficiency (p = 0.048) in the active group. HRV (baseline adjusted mean 49.1 ± 2.3 ms) and recovery index (106.6 ± 33.4) were higher in the active group than in controls (42.5 ± 2.2 ms and 80.0 ± 29.3) (p = 0.046 and p = 0.02, respectively). In conclusion, daily intake of yoghurt enriched with bioactive components may aid in stress coping.          "
vitamin B,Audit of primary care and initial secondary care investigations set against RCOG guidelines as standard in cases of subfertility - PubMed,"              Subfertility affects one in seven couples in the United Kingdom and is associated with considerable patient stress and anxiety. The RCOG, with the publication of the evidence-based guidelines, gives us clear recommendations on the initial investigation of the infertile couple. Against these guidelines we audited patient care over a period of 5 months in a dedicated consultant-led infertility clinic. Our results show that a considerable number of patients failed to have the correct advice clearly documented, and the initial primary care investigations of mid-luteal progesterone and semen analysis were performed correctly with results available in only 33% and 2% of occasions, respectively. There were, however, areas where the guidelines were adhered to very efficiently. To improve care we recommend the use of an infertility referral form for use in primary care upon which the practitioners can fill in the appropriate details and be guided on the necessary investigations.          "
